"coches","franja","finde","lluvia","obras"
10,"tarde","Si","No","No"
17,"tarde","Si","No","Si"
15,"tarde","Si","No","No"
11,"noche","No","No","Si"
11,"tarde","No","Si","No"
9,"noche","No","No","No"
29,"manana","No","No","No"
30,"tarde","No","No","No"
10,"tarde","Si","Si","No"
29,"manana","No","No","No"
12,"noche","No","No","No"
13,"tarde","No","Si","No"
21,"manana","No","No","No"
35,"tarde","No","No","No"
15,"tarde","Si","No","No"
20,"manana","No","No","No"
29,"manana","No","No","No"
17,"noche","No","No","No"
5,"madrugada","Si","No","Si"
11,"manana","Si","No","No"
34,"tarde","No","No","No"
8,"noche","Si","No","No"
38,"tarde","No","No","No"
34,"tarde","No","No","No"
26,"manana","No","No","Si"
29,"tarde","No","No","No"
15,"madrugada","No","No","No"
28,"manana","No","No","No"
8,"tarde","Si","Si","No"
19,"tarde","Si","No","No"
5,"noche","Si","No","Si"
13,"manana","Si","No","No"
12,"tarde","Si","No","Si"
17,"tarde","Si","No","Si"
12,"manana","No","Si","Si"
10,"manana","Si","No","No"
20,"manana","No","No","No"
5,"noche","Si","No","No"
22,"noche","No","No","No"
18,"manana","No","No","No"
4,"noche","No","Si","No"
38,"tarde","No","No","No"
13,"madrugada","No","No","No"
31,"manana","No","No","No"
3,"madrugada","Si","No","No"
11,"manana","No","No","No"
5,"madrugada","Si","No","Si"
12,"tarde","No","Si","No"
30,"manana","No","No","No"
13,"tarde","No","Si","Si"
12,"tarde","Si","No","No"
41,"tarde","No","No","Si"
37,"tarde","No","No","No"
19,"manana","No","No","No"
34,"tarde","No","No","No"
10,"manana","No","Si","No"
14,"manana","Si","No","No"
27,"tarde","No","No","No"
13,"madrugada","No","No","No"
21,"manana","No","No","No"
13,"tarde","No","Si","No"
12,"noche","No","No","No"
15,"tarde","No","Si","No"
25,"manana","No","No","No"
19,"noche","No","No","No"
21,"noche","No","No","No"
10,"noche","No","No","Si"
1,"madrugada","Si","Si","No"
2,"manana","Si","Si","Si"
3,"madrugada","Si","No","No"
2,"noche","Si","No","Si"
8,"tarde","Si","Si","No"
17,"noche","No","No","No"
26,"manana","No","No","No"
17,"noche","No","No","No"
38,"tarde","No","No","No"
15,"tarde","Si","No","No"
17,"manana","No","No","Si"
18,"noche","No","No","No"
27,"manana","No","No","No"
16,"tarde","Si","No","No"
22,"manana","No","No","No"
8,"noche","No","Si","No"
12,"madrugada","No","No","No"
18,"noche","No","No","No"
8,"tarde","No","Si","Si"
8,"madrugada","Si","No","No"
3,"noche","No","Si","Si"
26,"manana","No","No","No"
10,"manana","No","Si","No"
17,"manana","No","No","No"
9,"manana","Si","No","Si"
8,"madrugada","No","No","No"
6,"madrugada","No","No","No"
14,"noche","No","No","Si"
29,"manana","No","No","Si"
11,"manana","No","Si","No"
4,"noche","No","Si","No"
16,"manana","Si","No","No"
24,"manana","No","No","Si"
9,"manana","No","Si","No"
5,"noche","No","Si","No"
32,"tarde","No","No","No"
35,"tarde","No","No","No"
3,"madrugada","No","No","No"
5,"madrugada","Si","No","No"
15,"tarde","Si","No","No"
7,"madrugada","Si","No","No"
34,"manana","No","No","No"
6,"noche","Si","No","No"
9,"noche","No","No","No"
28,"tarde","No","No","No"
10,"manana","Si","No","Si"
44,"tarde","No","No","No"
8,"manana","Si","No","No"
14,"noche","No","No","No"
10,"madrugada","No","No","No"
22,"manana","No","No","No"
41,"tarde","No","No","No"
7,"manana","No","Si","No"
26,"manana","No","No","No"
20,"manana","No","No","No"
5,"madrugada","No","No","Si"
9,"tarde","No","Si","No"
30,"manana","No","No","No"
11,"noche","No","No","No"
13,"tarde","No","Si","No"
36,"manana","No","No","No"
29,"manana","No","No","No"
0,"madrugada","Si","Si","Si"
4,"noche","No","Si","No"
11,"noche","No","No","No"
11,"tarde","Si","No","No"
7,"noche","Si","No","No"
5,"manana","No","Si","No"
33,"tarde","No","No","Si"
30,"manana","No","No","No"
21,"manana","No","No","No"
21,"tarde","Si","No","No"
39,"tarde","No","No","No"
28,"manana","No","No","No"
42,"tarde","No","No","No"
12,"madrugada","No","No","No"
12,"tarde","No","Si","No"
15,"noche","No","No","No"
18,"manana","No","No","No"
42,"tarde","No","No","No"
41,"tarde","No","No","No"
20,"manana","No","No","No"
19,"noche","No","No","No"
23,"manana","No","No","No"
4,"madrugada","Si","No","Si"
25,"manana","No","No","No"
6,"tarde","Si","Si","No"
13,"noche","No","No","Si"
16,"tarde","Si","No","No"
2,"noche","Si","Si","No"
36,"tarde","No","No","Si"
12,"madrugada","No","No","No"
41,"tarde","No","No","No"
9,"noche","Si","No","No"
40,"tarde","No","No","Si"
12,"tarde","Si","Si","No"
19,"manana","No","No","No"
12,"tarde","No","Si","No"
13,"madrugada","No","No","No"
13,"tarde","Si","No","No"
37,"tarde","No","No","No"
16,"noche","No","No","No"
9,"noche","Si","No","Si"
1,"madrugada","No","Si","Si"
24,"manana","No","No","No"
18,"tarde","Si","No","No"
24,"manana","No","No","Si"
10,"manana","Si","No","Si"
5,"manana","No","Si","No"
13,"noche","No","No","Si"
32,"tarde","No","No","No"
27,"manana","No","No","No"
7,"noche","Si","No","No"
33,"tarde","No","No","No"
44,"tarde","No","No","No"
30,"tarde","No","No","No"
45,"tarde","No","No","Si"
3,"madrugada","Si","No","No"
8,"manana","No","Si","No"
9,"manana","Si","No","No"
26,"manana","No","No","Si"
5,"madrugada","No","No","No"
18,"noche","No","No","No"
39,"tarde","No","No","No"
13,"tarde","Si","Si","No"
11,"madrugada","No","No","No"
37,"tarde","No","No","Si"
4,"noche","Si","Si","No"
7,"noche","No","Si","No"
10,"manana","Si","No","No"
20,"manana","No","No","Si"
3,"madrugada","Si","Si","No"
17,"tarde","Si","No","No"
12,"manana","Si","No","No"
9,"manana","Si","No","No"
25,"manana","No","No","Si"
6,"tarde","Si","Si","No"
21,"manana","No","No","No"
8,"madrugada","No","No","No"
11,"manana","No","Si","No"
6,"madrugada","No","No","No"
19,"manana","No","No","No"
7,"manana","Si","No","No"
9,"manana","Si","Si","No"
4,"noche","No","Si","Si"
15,"tarde","Si","No","No"
28,"tarde","No","No","No"
6,"madrugada","Si","No","No"
11,"manana","No","Si","No"
15,"tarde","Si","No","No"
2,"madrugada","No","Si","No"
16,"tarde","Si","No","No"
8,"manana","No","Si","Si"
23,"tarde","No","No","Si"
6,"noche","Si","No","Si"
6,"madrugada","No","No","No"
28,"manana","No","No","No"
9,"noche","No","No","No"
24,"manana","No","No","No"
16,"noche","No","No","No"
15,"tarde","Si","No","No"
12,"tarde","No","Si","Si"
10,"manana","No","Si","No"
17,"manana","No","No","No"
9,"noche","No","No","No"
5,"madrugada","No","No","No"
25,"manana","No","No","No"
11,"madrugada","No","No","No"
15,"madrugada","No","No","No"
35,"tarde","No","No","No"
8,"madrugada","No","Si","No"
14,"tarde","Si","No","No"
18,"manana","No","No","No"
30,"tarde","No","No","No"
2,"madrugada","No","Si","No"
29,"tarde","No","No","No"
18,"noche","No","No","No"
3,"noche","No","Si","Si"
25,"manana","No","No","Si"
18,"noche","No","No","No"
3,"manana","Si","Si","No"
9,"madrugada","No","No","No"
3,"noche","Si","Si","No"
11,"manana","Si","No","No"
24,"manana","No","No","No"
23,"manana","No","No","No"
1,"madrugada","Si","No","Si"
8,"madrugada","Si","No","No"
21,"manana","No","No","Si"
12,"noche","No","No","No"
24,"manana","No","No","Si"
7,"noche","No","Si","No"
10,"noche","Si","No","No"
7,"madrugada","Si","No","No"
57,"tarde","No","No","Si"
8,"manana","Si","No","No"
10,"tarde","No","Si","No"
13,"noche","No","No","No"
9,"manana","Si","No","No"
14,"madrugada","No","No","Si"
13,"madrugada","No","No","No"
36,"tarde","No","No","No"
23,"manana","No","No","No"
28,"manana","No","No","Si"
32,"tarde","No","No","Si"
30,"tarde","No","No","No"
7,"manana","No","Si","No"
30,"tarde","No","No","No"
4,"madrugada","Si","Si","No"
31,"tarde","No","No","No"
18,"noche","No","No","No"
19,"noche","No","No","No"
4,"madrugada","No","Si","No"
25,"manana","No","No","Si"
4,"manana","No","Si","No"
22,"tarde","No","No","No"
8,"noche","Si","No","No"
19,"noche","No","No","No"
8,"madrugada","No","No","No"
15,"noche","No","No","No"
4,"madrugada","Si","No","No"
7,"noche","No","Si","No"
31,"tarde","No","No","No"
5,"noche","Si","No","No"
23,"manana","No","No","No"
5,"madrugada","Si","No","Si"
24,"manana","No","No","No"
44,"tarde","No","No","No"
32,"tarde","No","No","No"
7,"tarde","Si","Si","No"
16,"tarde","No","Si","No"
9,"noche","No","No","No"
29,"manana","No","No","Si"
10,"noche","No","No","No"
9,"tarde","Si","Si","No"
5,"madrugada","Si","No","No"
13,"noche","No","No","No"
18,"manana","No","No","No"
37,"tarde","No","No","No"
4,"noche","Si","No","No"
10,"tarde","Si","No","Si"
15,"madrugada","No","No","No"
6,"manana","Si","Si","No"
43,"tarde","No","No","No"
8,"tarde","Si","No","No"
9,"madrugada","No","No","No"
20,"manana","No","No","Si"
13,"tarde","No","Si","Si"
13,"noche","No","No","No"
10,"tarde","No","Si","No"
25,"manana","No","No","Si"
13,"manana","Si","No","Si"
10,"noche","No","No","No"
14,"manana","Si","No","No"
34,"tarde","No","No","No"
28,"tarde","No","No","Si"
4,"madrugada","No","Si","Si"
36,"tarde","No","No","No"
19,"manana","No","No","No"
40,"tarde","No","No","No"
2,"noche","No","Si","No"
9,"madrugada","No","No","No"
9,"manana","Si","No","No"
35,"tarde","No","No","No"
14,"manana","No","No","No"
31,"tarde","No","No","No"
18,"madrugada","No","No","No"
11,"tarde","Si","No","No"
10,"tarde","No","Si","No"
10,"madrugada","No","No","No"
45,"tarde","No","No","No"
10,"noche","No","No","No"
9,"tarde","No","Si","No"
13,"tarde","Si","No","No"
41,"tarde","No","No","No"
7,"manana","No","Si","Si"
11,"noche","No","No","No"
16,"noche","No","No","No"
30,"tarde","No","No","No"
8,"noche","Si","No","No"
4,"noche","Si","No","No"
19,"noche","No","No","No"
15,"tarde","No","Si","No"
24,"manana","No","No","No"
13,"tarde","Si","No","No"
23,"manana","No","No","No"
15,"manana","Si","No","Si"
11,"tarde","No","Si","No"
2,"madrugada","No","Si","No"
6,"madrugada","Si","No","No"
16,"madrugada","No","No","No"
7,"manana","Si","Si","No"
37,"tarde","No","No","No"
7,"noche","Si","No","Si"
12,"manana","Si","No","No"
16,"tarde","Si","No","Si"
8,"manana","Si","No","No"
11,"manana","Si","No","No"
37,"tarde","No","No","No"
10,"noche","No","No","No"
30,"tarde","No","No","No"
3,"manana","Si","Si","No"
15,"tarde","Si","No","No"
29,"manana","No","No","No"
5,"madrugada","No","No","Si"
13,"tarde","No","Si","No"
13,"tarde","Si","No","No"
3,"noche","Si","No","No"
7,"madrugada","No","Si","No"
31,"tarde","No","No","No"
42,"tarde","No","No","Si"
5,"tarde","No","Si","No"
9,"madrugada","No","No","No"
4,"noche","Si","No","No"
40,"tarde","No","No","No"
18,"manana","No","No","No"
44,"tarde","No","No","No"
29,"tarde","No","No","No"
14,"noche","No","No","No"
18,"manana","No","No","No"
6,"noche","Si","Si","No"
27,"tarde","No","No","No"
8,"madrugada","No","No","No"
6,"madrugada","Si","No","No"
25,"tarde","No","No","Si"
10,"tarde","Si","Si","Si"
7,"madrugada","Si","No","No"
25,"manana","No","No","Si"
20,"tarde","Si","No","Si"
21,"manana","No","No","Si"
22,"manana","No","No","No"
31,"tarde","No","No","No"
35,"tarde","No","No","No"
1,"manana","Si","Si","No"
17,"tarde","No","Si","No"
19,"manana","No","No","No"
12,"noche","No","No","No"
6,"madrugada","No","No","Si"
35,"manana","No","No","No"
29,"tarde","No","No","No"
25,"manana","No","No","No"
12,"madrugada","No","No","Si"
36,"tarde","No","No","No"
17,"noche","No","No","No"
19,"noche","No","No","No"
28,"tarde","No","No","No"
9,"madrugada","No","No","No"
19,"manana","No","No","No"
0,"madrugada","No","Si","No"
39,"tarde","No","No","No"
15,"noche","No","No","Si"
10,"tarde","No","Si","No"
5,"madrugada","Si","Si","No"
2,"madrugada","Si","Si","No"
9,"noche","Si","No","No"
4,"madrugada","No","Si","No"
8,"noche","Si","No","No"
22,"manana","No","No","No"
38,"tarde","No","No","No"
36,"tarde","No","No","No"
6,"manana","Si","Si","No"
12,"noche","No","No","No"
36,"tarde","No","No","No"
13,"tarde","Si","No","No"
38,"tarde","No","No","No"
3,"noche","Si","No","Si"
11,"madrugada","No","No","No"
13,"noche","No","No","No"
41,"tarde","No","No","Si"
18,"manana","No","No","No"
40,"tarde","No","No","No"
10,"manana","Si","No","No"
24,"manana","No","No","No"
9,"madrugada","No","No","No"
6,"manana","No","Si","No"
9,"madrugada","No","No","Si"
10,"madrugada","No","No","No"
3,"noche","Si","No","No"
11,"noche","No","No","No"
27,"manana","No","No","No"
9,"manana","Si","No","No"
17,"madrugada","No","No","Si"
4,"madrugada","No","Si","No"
33,"manana","No","No","No"
1,"madrugada","No","Si","No"
5,"madrugada","No","No","No"
6,"manana","Si","No","No"
38,"tarde","No","No","No"
18,"manana","No","No","No"
8,"manana","Si","No","No"
30,"tarde","No","No","No"
12,"madrugada","No","No","No"
22,"tarde","No","No","No"
35,"tarde","No","No","No"
30,"manana","No","No","No"
42,"tarde","No","No","No"
15,"noche","No","No","Si"
6,"noche","No","Si","Si"
21,"manana","No","No","No"
36,"tarde","No","No","No"
22,"manana","No","No","No"
31,"tarde","No","No","No"
17,"manana","No","No","No"
11,"noche","No","No","No"
13,"manana","No","Si","No"
11,"madrugada","No","No","No"
22,"manana","No","No","No"
19,"manana","No","No","Si"
37,"tarde","No","No","Si"
10,"madrugada","No","No","No"
7,"noche","No","Si","No"
5,"tarde","Si","Si","No"
3,"madrugada","Si","No","No"
6,"manana","No","Si","Si"
36,"tarde","No","No","No"
35,"tarde","No","No","No"
7,"manana","Si","No","No"
44,"tarde","No","No","No"
8,"manana","Si","No","Si"
7,"madrugada","No","Si","Si"
10,"tarde","Si","No","No"
7,"noche","Si","No","No"
16,"noche","No","No","No"
6,"noche","No","Si","No"
24,"tarde","Si","No","No"
15,"tarde","Si","No","No"
12,"manana","Si","No","No"
15,"tarde","No","Si","No"
38,"tarde","No","No","No"
19,"noche","No","No","No"
9,"tarde","No","Si","No"
14,"tarde","No","Si","No"
6,"tarde","No","Si","Si"
12,"madrugada","No","No","No"
10,"tarde","No","Si","No"
21,"manana","No","No","No"
8,"noche","Si","No","No"
34,"manana","No","No","No"
19,"manana","No","No","No"
32,"tarde","No","No","No"
14,"manana","Si","No","No"
15,"noche","No","No","No"
31,"manana","No","No","No"
5,"madrugada","Si","No","No"
35,"tarde","No","No","No"
6,"manana","Si","Si","No"
16,"tarde","Si","No","No"
6,"manana","No","Si","No"
16,"madrugada","No","No","No"
6,"madrugada","No","Si","No"
27,"manana","No","No","No"
6,"noche","No","No","No"
38,"tarde","No","No","No"
12,"noche","No","No","No"
29,"tarde","No","No","No"
10,"madrugada","Si","No","No"
5,"madrugada","Si","No","No"
24,"manana","No","No","No"
31,"tarde","No","No","No"
12,"madrugada","No","No","No"
15,"tarde","No","Si","No"
29,"manana","No","No","No"
17,"madrugada","No","No","No"
3,"madrugada","No","Si","No"
10,"madrugada","No","No","No"
7,"madrugada","No","No","No"
29,"manana","No","No","No"
13,"noche","No","No","No"
1,"madrugada","No","Si","No"
7,"madrugada","No","No","No"
24,"manana","No","No","No"
19,"manana","No","No","No"
26,"manana","No","No","No"
24,"tarde","No","No","No"
11,"tarde","Si","No","No"
27,"tarde","No","No","No"
12,"madrugada","No","No","No"
3,"madrugada","Si","No","No"
10,"madrugada","No","No","Si"
3,"madrugada","No","Si","No"
16,"tarde","Si","No","No"
21,"manana","No","No","No"
10,"madrugada","No","No","No"
39,"tarde","No","No","No"
5,"madrugada","Si","No","Si"
13,"tarde","No","Si","No"
12,"madrugada","No","No","No"
14,"tarde","Si","No","No"
38,"tarde","No","No","No"
41,"tarde","No","No","No"
19,"manana","No","No","No"
8,"madrugada","No","No","No"
34,"tarde","No","No","Si"
12,"manana","Si","No","No"
30,"tarde","No","No","No"
4,"madrugada","No","Si","No"
27,"tarde","No","No","No"
38,"tarde","No","No","No"
9,"madrugada","No","No","No"
8,"tarde","No","Si","No"
20,"tarde","No","No","No"
12,"noche","No","No","No"
8,"noche","Si","No","No"
11,"madrugada","No","No","No"
14,"tarde","No","Si","No"
23,"manana","No","No","Si"
8,"madrugada","No","No","No"
28,"tarde","No","No","No"
38,"tarde","No","No","No"
8,"madrugada","No","No","Si"
18,"manana","No","No","No"
13,"madrugada","No","No","No"
2,"noche","Si","No","No"
5,"madrugada","Si","No","No"
